gene	gene_set
Il5ra	common
Ccr3	common
Alox15	common
Siglecf	common
Itgam	common
Ear1	common
Ear2	common
Itgal	short_lived
Nfkbia	short_lived
Dusp5	short_lived
Pim1	short_lived
Fau	short_lived
Birc3	short_lived
Rps27a	short_lived
Ncf1	short_lived
Rps3a1	short_lived
Rpl18a	short_lived
Mxd1	short_lived
Tgm2	short_lived
Thbs1	short_lived
Rpl35a	short_lived
Ypel3	short_lived
Rps16	short_lived
Coro1a	short_lived
Stk19	short_lived
Cyba	short_lived
Cxcl2	short_lived
Cd9	short_lived
Taldo1	short_lived
Vasp	short_lived
Rpl37a	short_lived
Rpl17	short_lived
Slc16a3	short_lived
Rps15	short_lived
Srgn	short_lived
Rps13	short_lived
Rps23	short_lived
Rps12	short_lived
Cdk2ap2	short_lived
Sirpa	short_lived
Dazap2	short_lived
Ccl6	short_lived
Rpl5	short_lived
Nr4a1	short_lived
Rps29	short_lived
Gsr	short_lived
Rpl32	short_lived
Rps5	short_lived
Rps8	short_lived
Rps26	short_lived
Lcp1	short_lived
Ptafr	short_lived
Cebpb	short_lived
Kdm6b	short_lived
Lmna	long_lived
Fgfr1	long_lived
Cd300a	long_lived
Cd44	long_lived
Cd24a	long_lived
Ptprc	long_lived
Klf2	long_lived
Rgs1	long_lived
Camk1d	long_lived
Fer	long_lived
F5	long_lived
Csf2rb	long_lived
Kctd12	long_lived
Cytip	long_lived
Cd80	long_lived
Mctp1	long_lived
Cdkn1a	long_lived
Coro2a	long_lived
Adam8	long_lived
Slc2a3	long_lived
Il1rl1	long_lived
Elmo1	long_lived
Mbnl1	long_lived
Lyn	long_lived
Trerf1	long_lived
Adgre1	long_lived
Plek	long_lived
Atp2b1	long_lived
Dnaja1	long_lived
Basp1	long_lived
Srpk2	long_lived
Prrc2c	long_lived
Slk	long_lived
Rab8b	long_lived
Rbm39	long_lived
Arhgap18	long_lived
Tsc22d3	long_lived
Rbms1	long_lived
Hsp90aa1	long_lived
Rsrp1	long_lived
Cd47	long_lived
Srsf2	long_lived
Dock8	long_lived
Calm1	long_lived
S1pr1	long_lived
Cd84	long_lived
