gene	region_id	reference_region	comparison_type	observed_counts_per_10000	reference_counts_per_10000	log2_count_ratio	detection_fraction_difference	observed_fraction_q20	reference_fraction_q20	q20_difference	abundance_depletion	quality_degradation	insufficient_quality	evidence_tier	candidate_status	exact_cycle_status	threshold_abs_log2_ratio	threshold_abs_q20_delta	section_candidate_flag	section_evidence_status	gene_set
Adam8	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.72830771395881	5.02452610320607	-1.30990224197124	-0.0451850071400859	0.705488621151272	0.753248917027657	-0.047760295876385	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	long_lived
Adam8	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	4.70171319841774	5.02452610320607	-0.0868638576008474	-0.0234240047990926	0.639974948555068	0.753248917027657	-0.113273968472589	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	long_lived
Adam8	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	3.12322541413137	5.02452610320607	-0.608576150733047	-0.0252355923579704	0.726917821588913	0.753248917027657	-0.0263310954387439	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	long_lived
Adgre1	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	6.85537006883987	16.8955997910893	-1.24185258881528	-0.0607187200913009	0.615728813559322	0.807827545790913	-0.192098732231591	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	long_lived
Alox15	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	0.661248796305489	1.44356004615067	-0.743024579146689	-0.0199271333811224	0.640478223740393	0.710200714874897	-0.069722491134504	TRUE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	common
Alox15	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	2.9065379366287	1.44356004615067	0.809604592982448	-0.0094998738672197	0.612224448897796	0.710200714874897	-0.097976265977101	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	common
Arhgap18	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	5.39588774247699	11.9762018643611	-1.08139783981416	-0.133391850027056	0.411700012689819	0.803917482808919	-0.3922174701191	TRUE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	long_lived
Arhgap18	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	9.54665900671948	11.9762018643611	-0.312462984501111	-0.075468837087357	0.627773770630913	0.803917482808919	-0.176143712178006	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	long_lived
Arhgap18	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	13.3541658076121	11.9762018643611	0.151141044571263	0.014720716279651	0.715643972660277	0.803917482808919	-0.0882735101486419	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	long_lived
Atp2b1	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	13.630282340126	19.324361033947	-0.488484073908935	-0.079791302021898	0.609381293180903	0.804187079136163	-0.19480578595526	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	long_lived
Atp2b1	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	13.4174602516062	19.324361033947	-0.510378403800665	-0.143754872884402	0.829481526531853	0.804187079136163	0.02529444739569	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	long_lived
Atp2b1	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	5.92424941996142	19.324361033947	-1.62567455531174	-0.207684199047839	0.415577176446742	0.804187079136163	-0.388609902689421	TRUE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	long_lived
Basp1	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	12.4692630160464	11.0751032088363	0.164071442890164	-0.020622010159423	0.712710133542812	0.80006294526623	-0.087352811723418	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	long_lived
